市町村コード,ため池コード番号,名称,名称_カナ,都道府県,市区町村,住所,担当課,堤高(m),堤頂長(m),総貯水量(千m3),緯度,経度,ハザードマップ作成状況：作成の状況,ため池ＨＭ・浸水想定区域図　ＵＲＬ
372030,372030238,黒岡池,クロオカイケ,香川県,坂出市,坂出市府中町字迯田原4284,坂出市農林水産課,3.5,40,1.5,34.28300000,133.90800000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25106.pdf
372030,372030239,小谷池,コタニイケ,香川県,坂出市,坂出市府中町字迯田原4369,坂出市農林水産課,7,40,5,34.28400000,133.90700000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25073.pdf
372030,372030240,山中上池,ヤマナカウワイケ,香川県,坂出市,坂出市府中町4032,坂出市農林水産課,3.5,45,1,34.28400000,133.91400000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25074.pdf
372030,372030241,山中下池,ヤマナカシタイケ,香川県,坂出市,坂出市府中町4034,坂出市農林水産課,6.5,60,4,34.28500000,133.91400000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25075.pdf
372030,372030243,水本池,ミズモトイケ,香川県,坂出市,坂出市府中町5598,坂出市農林水産課,5.5,55,2,34.30000000,133.90900000,,https://www.city.sakaide.lg.jp/uploaded/attachment/24923.pdf
372030,372030246,砂野池,サノイケ,香川県,坂出市,坂出市府中町5836,坂出市農林水産課,4.25,28,3.33,34.30300000,133.90400000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25076.pdf
372030,372030248,椎池,シイイケ,香川県,坂出市,坂出市府中町5868,坂出市農林水産課,7.5,70,1.5,34.30500000,133.90500000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25077.pdf
372030,372030249,十三郎池,ジュウサブロウイケ,香川県,坂出市,坂出市府中町5895,坂出市農林水産課,5.5,70,3,34.30500000,133.90200000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25078.pdf
372030,372030250,オタミ池,オタミイケ,香川県,坂出市,坂出市府中町5924,坂出市農林水産課,4.4,73,1.8,34.30600000,133.90100000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25079.pdf
372030,372030253,末沢下池,マツザワシタイケ,香川県,坂出市,坂出市西庄町字醍醐1347,坂出市農林水産課,3,60,1.2,34.30700000,133.90000000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25107.pdf
372030,372030254,末沢池,スエザワイケ,香川県,坂出市,坂出市西庄町字醍醐1359,坂出市農林水産課,4,45,1.1,34.30700000,133.89900000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25108.pdf
372030,372030255,山下池,ヤマシタイケ,香川県,坂出市,坂出市西庄町字醍醐1504-20,坂出市農林水産課,5,40,1.5,34.30700000,133.89600000,,https://www.city.sakaide.lg.jp/uploaded/attachment/24925.pdf
372030,372030256,山下大池,ヤマシタオオイケ,香川県,坂出市,坂出市西庄町字醍醐1472,坂出市農林水産課,5,66,3,34.30900000,133.89600000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25109.pdf
372030,372030257,ムネ池,ムネイケ,香川県,坂出市,坂出市西庄町字醍醐1487,坂出市農林水産課,5,40,1.6,34.30900000,133.89600000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25110.pdf
372030,372030259,別宮池,ベックウイケ,香川県,坂出市,坂出市西庄町字真伏1586,坂出市農林水産課,6.4,64,3.2,34.31100000,133.88900000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25111.pdf
